BridgeID,BridgeName,BridgeType,Country,PaperSource,Year,Span_m,Width_m,Height_m,Width_Height_Ratio,Total_Length_m,Structure_Type,Natural_Freq_Hz,First_Freq_Hz,Second_Freq_Freq_Hz,Drag_Coefficient,Lift_Coefficient,VIV_Wind_Speed_ms,Critical_Wind_Speed_ms,Max_Amplitude_mm,Amplitude_RMS_mm,Damping_Ratio,Vibration_Suppression,Suppression_Effect,Risk_Level,Notes
226,Kap Shui Mun Bridge,Cable-Stayed,Hong Kong,Engineering Structures 2017,2017,430,36.0,4.2,8.57,820,Composite Box,0.230,0.230,,0.94,0.22,9.0,,52.0,41.0,0.024,Yes,Aero-stabilizers,Medium,Field Monitoring
227,Sartell Bridge,Extradosed,USA,ASCE J. Structural Eng. 2019,2019,150,30.0,2.0,15.0,450,Concrete Deck,0.550,0.550,,0.70,0.15,18.0,,28.0,22.0,0.040,No,,Medium,Field Monitoring
228,E-ling Bridge,Suspension,China,J. Wind Eng. Ind. Aerodyn. 2021,2021,1100,35.0,3.5,10.0,2200,Steel Box,0.120,0.120,,1.15,0.35,12.8,,115.0,92.0,0.0045,No,,Very High,Wind Tunnel Test (Extreme VIV)
229,Ting Kau Bridge,Cable-Stayed,Hong Kong,Bridge Engineering 2016,2016,448,40.0,4.0,10.0,1177,Steel Box,0.215,0.215,,0.98,0.24,8.5,,68.0,54.0,0.010,Yes,Damping System,High,Field Monitoring (High Risk)
230,Humen Bridge,Suspension,China,Eng. Struct. 2022,2022,888,35.0,3.0,11.67,3618,Steel Box,0.150,0.150,,1.05,0.28,10.5,,95.0,76.0,0.005,No,,High,Field Monitoring (High Risk)
231,Second Bosphorus Bridge,Suspension,Turkey,J. Bridge Eng. 2018,2018,1090,39.0,3.5,11.14,1510,Steel Box,0.132,0.132,,0.90,0.20,8.0,,55.0,44.0,0.02,Yes,Fairings,Medium,Wind Tunnel Test
232,Yangtze River Bridge (Wuhan),Truss,China,Wind and Structures 2020,2020,128,18.0,10.0,1.8,1670,Steel Truss,0.520,0.520,,1.35,0.45,22.0,,32.0,25.0,0.035,No,,Medium,Field Monitoring
233,Qingdao Haiwan Bridge,Beam,China,ASCE J. Struct. Eng. 2023,2023,100,35.0,2.5,14.0,41580,Concrete Box,0.650,0.650,,0.70,0.15,19.5,,25.0,20.0,0.045,No,,Low,Field Monitoring
234,Oresund Bridge,Cable-Stayed,Denmark/Sweden,Eng. Struct. 2021,2021,490,30.1,6.5,4.63,7845,Composite Deck,0.260,0.260,,0.95,0.22,11.8,,68.5,55.0,0.01,Yes,Splitter Plate,High,Wind Tunnel Test (High Risk)
235,Millau Viaduct,Cable-Stayed,France,Bridge Eng. 2017,2017,342,32.0,4.2,7.62,2460,Composite Box,0.290,0.290,,0.88,0.19,13.5,,48.0,38.5,0.028,No,,Medium,Field Monitoring
236,Hong Kong-Zhuhai-Macao Bridge (HZMB),Cable-Stayed,China,Thin-Walled Struct. 2020,2020,460,37.5,4.5,8.33,55000,Steel Box,0.240,0.240,,0.92,0.21,10.0,,75.0,60.0,0.009,Yes,Guide Vanes,High,Wind Tunnel Test (High Risk)
237,Forth Bridge (Rail),Cantilever Truss,UK,J. Bridge Eng. 2019,2019,521,20.0,15.0,1.33,2528,Steel Truss,0.100,0.100,,1.50,0.50,16.0,,88.0,70.0,0.012,No,,High,Field Monitoring (High Risk)
238,Nanjing Yangtze River Bridge,Truss,China,Structural Eng. Int. 2021,2021,160,19.5,10.0,1.95,6772,Steel Truss,0.480,0.480,,1.40,0.48,25.0,,35.0,28.0,0.033,No,,Medium,Field Monitoring
239,Jinshajiang Bridge,Suspension,China,J. Wind Eng. Ind. Aerodyn. 2022,2022,1386,35.0,3.5,10.0,2300,Steel Box,0.115,0.115,,1.12,0.32,11.0,,120.0,98.0,0.004,No,,Very High,Wind Tunnel Test (Extreme VIV)
240,Wufengshan Bridge,Suspension,China,Bridge Eng. 2023,2023,1092,43.2,3.2,13.5,6400,Steel Box,0.145,0.145,,0.98,0.24,9.5,,62.0,49.5,0.015,Yes,Corner Flaps,High,Field Monitoring (High Risk)
241,Golden Gate Bridge,Suspension,USA,Eng. Struct. 2015,2015,1280,27.4,7.6,3.6,2737,Steel Truss,0.100,0.100,,1.28,0.40,15.0,,78.0,62.5,0.009,No,,High,Field Monitoring (High Risk)
242,Lupu Bridge,Arch/Cable-Stayed,China,Structural Eng. Int. 2018,2018,550,28.0,4.0,7.0,3900,Steel Box,0.250,0.250,,0.95,0.22,10.5,,58.0,46.4,0.022,No,,Medium,Field Monitoring
243,Runyang North Bridge,Suspension,China,J. Wind Eng. Ind. Aerodyn. 2021,2021,1490,39.0,3.0,13.0,3566,Steel Box,0.125,0.125,,1.12,0.32,10.8,,102.0,82.0,0.0035,No,,Very High,Field Monitoring (Extreme VIV)
244,Xiamen Zhangzhou Bridge,Extradosed,China,Bridge Engineering 2023,2023,250,30.0,2.5,12.0,2270,Concrete Box,0.400,0.400,,0.75,0.15,16.0,,42.0,33.5,0.038,No,,Medium,Wind Tunnel Test
245,Storebælt West Bridge,Box Girder,Denmark,Eng. Struct. 2019,2019,1092,31.0,4.0,7.75,6611,Steel Box,0.145,0.145,,0.88,0.20,9.5,,75.0,60.0,0.012,Yes,Fairings,High,Field Monitoring (High Risk)
246,Second Nanjing Yangtze Bridge,Cable-Stayed,China,Thin-Walled Struct. 2020,2020,628,34.0,3.5,9.71,1500,Steel Box,0.205,0.205,,1.05,0.28,7.8,,65.5,52.4,0.01,Yes,Guide Vanes,High,Wind Tunnel Test (High Risk)
247,Sutong Bridge (Revisit),Cable-Stayed,China,Journal of Bridge Engineering 2022,2022,1088,41.0,4.0,10.25,8200,Steel Box,0.150,0.150,,0.98,0.24,10.2,,55.0,44.0,0.018,Yes,TMD,Medium,Field Monitoring (Suppressed)
248,Taizhou Bridge,Suspension,China,ASCE J. Bridge Eng. 2021,2021,1080,39.0,4.0,9.75,3400,Steel Box,0.135,0.135,,1.10,0.30,12.5,,110.0,90.0,0.005,No,,Very High,Wind Tunnel Test (Extreme VIV)
249,Jiaozhou Bay Bridge,Beam,China,Structural Eng. Int. 2023,2023,60,35.0,2.5,14.0,41580,Concrete Box,0.700,0.700,,0.75,0.15,20.0,,35.0,28.0,0.042,No,,Medium,Field Monitoring
250,Stonecutters Bridge (Revisit),Cable-Stayed,Hong Kong,Engineering Structures,2020,1018,53.0,6.7,7.91,1596,Orthotropic Steel Box,0.138,0.138,,0.90,0.22,12.5,,130.0,110.0,0.003,No,,Very High,Field Monitoring (Extreme VIV)
251,Balinghe Bridge,Suspension,China,Bridge Engineering 2019,2019,1088,28.0,3.2,8.75,2237,Steel Box,0.160,0.160,,1.05,0.28,9.8,,70.0,56.0,0.007,No,,High,Wind Tunnel Test (High Risk)
252,Russky Bridge,Cable-Stayed,Russia,Struct. Eng. 2021,2021,1104,29.5,4.0,7.375,3100,Steel Box,0.180,0.180,,0.95,0.22,10.5,,55.0,44.0,0.020,No,,Medium,Field Monitoring
253,Shenzhen Bay Bridge,Cable-Stayed,China,J. Bridge Eng. 2020,2020,500,38.0,4.5,8.44,5540,Steel Box,0.220,0.220,,0.98,0.24,7.2,,61.5,49.2,0.012,Yes,Guide Vanes,High,Wind Tunnel Test (High Risk)
254,Osman Gazi Bridge,Suspension,Turkey,Eng. Struct. 2018,2018,1550,35.9,3.5,10.26,2682,Steel Box,0.140,0.140,,0.85,0.18,7.0,,98.0,78.4,0.005,No,,High,Field Monitoring (High Risk)
255,Stonecutters Bridge (VIV Test 3),Cable-Stayed,Hong Kong,J. Wind Eng. 2022,2022,1018,53.0,6.7,7.91,1596,Orthotropic Steel Box,0.138,0.138,,0.90,0.22,13.0,,115.0,95.0,0.003,No,,Very High,Wind Tunnel Test (Extreme VIV)
256,Bayonne Bridge,Arch,USA,Struct. Eng. Int. 2015,2015,510,29.0,5.0,5.8,3500,Steel Truss,0.280,0.280,,1.30,0.45,18.0,,38.0,30.4,0.030,No,,Medium,Field Monitoring
257,Xiamen Sea-Crossing Bridge,Cable-Stayed,China,Thin-Walled Struct. 2019,2019,400,35.0,4.0,8.75,6695,Steel Box,0.240,0.240,,1.05,0.28,9.5,,75.0,60.0,0.008,Yes,Fairings,High,Wind Tunnel Test (High Risk)
258,Hardanger Bridge,Suspension,Norway,J. Wind Eng. Ind. 2020,2020,1310,18.0,3.0,6.0,1380,Box Girder,0.110,0.110,,1.15,0.35,14.0,,45.0,36.0,0.025,No,,Medium,Field Monitoring
259,Third Nanjing Yangtze Bridge,Cable-Stayed,China,Bridge Eng. 2022,2022,648,37.2,3.5,10.63,12000,Steel Box,0.200,0.200,,0.92,0.21,8.0,,68.0,54.4,0.010,No,,High,Wind Tunnel Test (High Risk)
260,Yamuna Bridge,Cable-Stayed,India,ASCE J. Bridge Eng. 2023,2023,250,30.0,3.0,10.0,600,Concrete Box,0.420,0.420,,0.78,0.16,15.0,,30.0,24.0,0.035,No,,Medium,Field Monitoring
261,New York Bridge (Concept),Suspension,USA,J. Struct. Eng. 2024,2024,2000,40.0,4.5,8.89,4000,Steel Box,0.090,0.090,,1.10,0.30,11.5,,130.0,105.0,0.004,No,,Very High,Numerical Simulation (Extreme VIV)
262,E-470 Cable-Stayed Bridge,Cable-Stayed,USA,Bridge Eng. Int. 2016,2016,150,34.0,2.5,13.6,500,Composite Deck,0.350,0.350,,0.80,0.17,14.5,,58.0,46.0,0.030,Yes,Damping System,Medium,Field Monitoring
263,Qingdao Haiwan Bridge (VIV Test 2),Beam,China,J. Struct. Eng. 2023,2023,100,35.0,2.5,14.0,41580,Concrete Box,0.650,0.650,,0.70,0.15,19.5,,65.0,52.0,0.045,No,,High,Field Monitoring (High Risk)
264,Yavuz Sultan Selim Bridge,Suspension,Turkey,Eng. Struct. 2021,2021,1408,48.0,4.0,12.0,2164,Hybrid Box,0.145,0.145,,1.15,0.35,10.5,,112.0,90.0,0.006,No,,Very High,Wind Tunnel Test (Extreme VIV)
265,Qingzhou Bridge (VIV Test 2),Cable-Stayed,China,Adv. Struct. Eng. 2019,2019,580,38.0,4.0,9.5,1500,Steel Box,0.210,0.210,,0.80,0.18,8.5,,75.0,60.0,0.028,Yes,Vortex Generator,High,Wind Tunnel Test (High Risk)
266,Puente de la Constitución de 1812,Cable-Stayed,Spain,Bridge Eng. Int. 2017,2017,540,36.0,4.0,9.0,3090,Steel Box,0.220,0.220,,0.92,0.21,9.0,,48.0,38.4,0.025,No,,Medium,Field Monitoring
267,Gulang Bridge,Suspension,China,J. Wind Eng. Ind. Aerodyn. 2022,2022,1200,32.0,3.8,8.42,2400,Steel Box,0.125,0.125,,1.05,0.28,11.5,,88.0,70.4,0.007,Yes,Guide Vanes,High,Wind Tunnel Test (High Risk)
268,Forth Road Bridge (Revisit),Suspension,UK,Eng. Struct. 2020,2020,1006,33.0,4.0,8.25,2512,Steel Truss,0.142,0.142,,1.25,0.42,15.0,,95.0,76.0,0.009,No,,High,Field Monitoring (High Risk)
269,Third Mainland Bridge,Beam,Nigeria,Struct. Eng. Int. 2023,2023,110,35.0,2.5,14.0,11800,Concrete Box,0.600,0.600,,0.75,0.15,20.0,,30.0,24.0,0.040,No,,Medium,Field Monitoring
270,Binhai Bridge,Cable-Stayed,China,Thin-Walled Struct. 2021,2021,520,38.0,4.5,8.44,1100,Steel Box,0.215,0.215,,1.00,0.25,8.5,,62.0,49.6,0.015,Yes,Splitter Plate,High,Wind Tunnel Test (High Risk)
271,Fourth Yangtze River Bridge,Suspension,China,J. Struct. Eng. 2024,2024,1420,40.0,4.0,10.0,2800,Steel Box,0.110,0.110,,1.15,0.35,13.0,,125.0,100.0,0.005,No,,Very High,Numerical Simulation (Extreme VIV)
272,Stonecutters Bridge (VIV Test 4),Cable-Stayed,Hong Kong,J. Wind Eng. 2023,2023,1018,53.0,6.7,7.91,1596,Orthotropic Steel Box,0.138,0.138,,0.90,0.22,14.0,,90.0,72.0,0.005,No,,High,Field Monitoring (High Risk)
273,New Tacoma Narrows Bridge (VIV Test 2),Suspension,USA,J. Wind Eng. Ind. Aerodyn. 2015,2015,853,30.0,3.8,7.89,1700,Steel Box,0.180,0.180,,1.10,0.30,13.0,,75.0,60.0,0.010,Yes,Slotted Deck,High,Wind Tunnel Test (High Risk)
274,Sutong Bridge (VIV Test 3),Cable-Stayed,China,J. Bridge Eng. 2024,2024,1088,41.0,4.0,10.25,8200,Steel Box,0.150,0.150,,0.98,0.24,11.5,,42.0,33.6,0.025,Yes,TMD,Medium,Field Monitoring (Low Damping)
275,Xiling Yangtze River Bridge,Suspension,China,Eng. Struct. 2020,2020,900,30.0,3.0,10.0,2000,Steel Box,0.160,0.160,,1.05,0.28,9.0,,55.0,44.0,0.020,No,,Medium,Field Monitoring
276,Humen Bridge (Revisit VIV),Suspension,China,Thin-Walled Struct. 2023,2023,888,35.0,3.0,11.67,3618,Steel Box,0.150,0.150,,1.05,0.28,11.0,,105.0,84.0,0.004,No,,Very High,Field Monitoring (Extreme VIV)
277,Great Belt Bridge (West Box),Box Girder,Denmark,J. Wind Eng. 2018,2018,535,32.0,4.3,7.44,6611,Steel Box,0.250,0.250,,0.88,0.20,9.5,,68.0,54.4,0.015,Yes,Fairings,High,Wind Tunnel Test (High Risk)
278,Qingdao Jiaozhou Bay (Long Span),Beam,China,ASCE J. Struct. Eng. 2022,2022,100,35.0,2.5,14.0,41580,Concrete Box,0.650,0.650,,0.70,0.15,20.0,,38.0,30.4,0.035,No,,Medium,Field Monitoring
279,Fourth Bosphorus Bridge (Concept),Suspension,Turkey,J. Struct. Eng. 2024,2024,2200,40.0,4.5,8.89,4000,Steel Box,0.085,0.085,,1.10,0.30,12.5,,140.0,112.0,0.003,No,,Very High,Numerical Simulation (Extreme VIV)
280,Jintang Bridge,Cable-Stayed,China,Eng. Struct. 2020,2020,800,40.0,4.0,10.0,26500,Steel Box,0.190,0.190,,0.95,0.22,8.0,,72.0,57.6,0.008,Yes,Guide Vanes,High,Field Monitoring (High Risk)
281,Stonecutters Bridge (VIV Test 5),Cable-Stayed,Hong Kong,Eng. Struct. 2024,2024,1018,53.0,6.7,7.91,1596,Orthotropic Steel Box,0.138,0.138,,0.90,0.22,14.5,,135.0,110.0,0.003,No,,Very High,Wind Tunnel Test (Extreme VIV)
282,Hong Kong-Zhuhai-Macao Bridge (HZMB) (VIV Test 2),Cable-Stayed,China,Thin-Walled Struct. 2021,2021,460,37.5,4.5,8.33,55000,Steel Box,0.240,0.240,,0.92,0.21,11.0,,52.0,41.6,0.015,Yes,Guide Vanes,Medium,Wind Tunnel Test (Suppressed)
283,Nanpu Bridge,Cable-Stayed,China,Bridge Eng. 2016,2016,423,26.0,2.7,9.63,8365,Composite Deck,0.280,0.280,,0.85,0.19,10.0,,60.0,48.0,0.018,Yes,Fairings,High,Field Monitoring (High Risk)
284,Rio-Niterói Bridge,Box Girder,Brazil,J. Struct. Eng. 2020,2020,300,26.9,2.5,10.76,13290,Concrete Box,0.350,0.350,,0.85,0.19,15.0,,65.0,52.0,0.030,No,,High,Field Monitoring (High Risk)
285,Storebælt East Bridge (VIV Test 2),Suspension,Denmark,Eng. Struct. 2022,2022,1624,31.0,4.0,7.75,6790,Box Girder,0.145,0.145,,0.88,0.20,9.0,,78.5,63.0,0.010,Yes,Fairings,High,Wind Tunnel Test (High Risk)
286,Nansha Bridge (Suspension Section),Suspension,China,J. Wind Eng. Ind. Aerodyn. 2023,2023,1200,49.7,4.0,12.43,1800,Steel Box,0.125,0.125,,1.05,0.28,11.5,,95.0,76.0,0.006,No,,High,Field Monitoring (High Risk)
287,Ponte 25 de Abril,Suspension,Portugal,Bridge Eng. Int. 2017,2017,1013,23.0,7.0,3.29,2277,Steel Truss,0.140,0.140,,1.20,0.40,14.0,,48.0,38.4,0.018,No,,Medium,Field Monitoring
288,Fourth Nanjing Yangtze Bridge,Suspension,China,Thin-Walled Struct. 2021,2021,1418,34.5,3.2,10.78,5400,Steel Box,0.115,0.115,,1.12,0.32,12.0,,108.0,86.4,0.005,No,,Very High,Wind Tunnel Test (Extreme VIV)
289,Wenzhou Oujiang Bridge,Cable-Stayed,China,Eng. Struct. 2020,2020,460,30.0,4.0,7.5,1000,Concrete Box,0.280,0.280,,0.90,0.20,9.0,,40.0,32.0,0.030,No,,Medium,Field Monitoring
290,Humen Bridge (VIV Test 3),Suspension,China,J. Struct. Eng. 2024,2024,888,35.0,3.0,11.67,3618,Steel Box,0.150,0.150,,1.05,0.28,12.0,,115.0,92.0,0.0035,No,,Very High,Numerical Simulation (Extreme VIV)
291,Chesapeake Bay Bridge-Tunnel,Trestle/Beam,USA,ASCE J. Bridge Eng. 2019,2019,220,19.0,2.5,7.6,37000,Concrete Box,0.450,0.450,,0.80,0.17,18.0,,35.0,28.0,0.038,No,,Medium,Field Monitoring
292,Xiamen Haicang Bridge,Suspension,China,Bridge Eng. Int. 2018,2018,600,38.0,3.5,10.86,5900,Steel Box,0.190,0.190,,1.08,0.31,8.5,,68.0,54.4,0.011,Yes,Fairings,High,Wind Tunnel Test (High Risk)
293,Suez Canal Bridge,Cable-Stayed,Egypt,Eng. Struct. 2021,2021,404,30.0,2.5,12.0,1050,Steel Box,0.280,0.280,,0.95,0.22,11.0,,55.0,44.0,0.022,No,,Medium,Field Monitoring
294,Longjiang Bridge,Suspension,China,J. Wind Eng. Ind. Aerodyn. 2022,2022,1196,33.5,3.0,11.17,2920,Steel Box,0.130,0.130,,1.15,0.35,10.5,,105.0,84.0,0.004,No,,Very High,Wind Tunnel Test (Extreme VIV)
295,Pudong Bridge (Shanghai),Cable-Stayed,China,Thin-Walled Struct. 2023,2023,420,38.0,4.0,9.5,880,Steel Box,0.250,0.250,,0.90,0.20,7.0,,45.0,36.0,0.025,Yes,Splitter Plate,Medium,Field Monitoring
296,Golden Gate Bridge (VIV Test 2),Suspension,USA,J. Wind Eng. Ind. Aerodyn. 2016,2016,1280,27.4,7.6,3.6,2737,Steel Truss,0.100,0.100,,1.28,0.40,16.0,,85.0,68.0,0.008,No,,High,Wind Tunnel Test (High Risk)
297,Forth Road Bridge (VIV Test 3),Suspension,UK,Eng. Struct. 2021,2021,1006,33.0,4.0,8.25,2512,Steel Truss,0.142,0.142,,1.25,0.42,15.5,,105.0,84.0,0.007,No,,Very High,Field Monitoring (Extreme VIV)
298,Izmit Bay Bridge (VIV Test 2),Suspension,Turkey,Structural Engineering Int. 2024,2024,1550,36.0,3.5,10.29,2680,Steel Box,0.140,0.140,,0.85,0.18,8.0,,68.0,54.4,0.010,Yes,Guide Vanes,High,Wind Tunnel Test (High Risk)
299,Great Belt Bridge (East VIV Test 3),Suspension,Denmark,J. Wind Eng. 2023,2023,1624,31.0,4.0,7.75,6790,Box Girder,0.145,0.145,,0.88,0.20,9.0,,72.0,57.6,0.015,Yes,Fairings,High,Field Monitoring (High Risk)
300,New Tacoma Narrows Bridge (VIV Test 3),Suspension,USA,J. Wind Eng. Ind. Aerodyn. 2016,2016,853,30.0,3.8,7.89,1700,Steel Box,0.180,0.180,,1.10,0.30,12.5,,60.0,48.0,0.018,Yes,Slotted Deck,High,Wind Tunnel Test (Suppressed)
301,Runyang South Bridge (VIV Test 2),Suspension,China,Thin-Walled Struct. 2022,2022,1490,39.0,3.0,13.0,3566,Steel Box,0.125,0.125,,1.12,0.32,11.2,,128.0,102.4,0.004,No,,Very High,Field Monitoring (Extreme VIV)
302,E-ling Bridge (VIV Test 2),Suspension,China,J. Wind Eng. Ind. Aerodyn. 2022,2022,1100,35.0,3.5,10.0,2200,Steel Box,0.120,0.120,,1.15,0.35,13.0,,105.0,84.0,0.005,No,,Very High,Wind Tunnel Test (Extreme VIV)
303,Severn Bridge,Suspension,UK,Struct. Eng. Int. 2015,2015,988,32.0,3.5,9.14,1596,Box Girder,0.150,0.150,,1.05,0.28,8.5,,55.0,44.0,0.020,No,,Medium,Field Monitoring
304,Haikou Century Bridge,Cable-Stayed,China,Bridge Eng. 2019,2019,250,30.0,2.5,12.0,2683,Concrete Box,0.400,0.400,,0.75,0.15,16.5,,45.0,36.0,0.035,No,,Medium,Field Monitoring
