BridgeID,BridgeName,BridgeType,Country,PaperSource,Year,Span_m,Width_m,Height_m,Width_Height_Ratio,Total_Length_m,Structure_Type,Natural_Freq_Hz,First_Freq_Hz,Second_Freq_Hz,Drag_Coefficient,Lift_Coefficient,VIV_Wind_Speed_ms,Critical_Wind_Speed_ms,Max_Amplitude_mm,Amplitude_RMS_mm,Damping_Ratio,Vibration_Suppression,Suppression_Effect,Risk_Level,Notes
DEEP014,High-Speed Railway Bridge Original Box Section,Cable-Stayed,China,High-speed railway cable-stayed box girder baseline,,672,31.4,3.3,9.52,,Steel Box,0.185,,,,,8.5,11.8,69.8,,0.018,,,High,高速铁路箱梁原始断面 - baseline
DEEP015,High-Speed Railway Bridge Aerodynamic Optimized,Cable-Stayed,China,High-speed railway aerodynamic optimization 2023,,672,31.4,3.3,9.52,,Steel Box,0.185,,,,,11.3,15.6,35.2,,0.018,Aerodynamic Shape Optimization,Reduce 50%,Medium,气动外形优化 - shape optimization
DEEP016,Asymmetric Section Bridge Baseline Configuration,Cable-Stayed,China,Asymmetric section flexible bridge baseline 2025,,726,35.0,3.4,10.29,,Steel Box,0.178,,,,,8.2,11.3,76.5,,0.014,,,High,非对称断面基准配置 - baseline asymmetric
DEEP017,Asymmetric Section with Multiple Deflectors,Cable-Stayed,China,Asymmetric section multiple deflector control,,726,35.0,3.4,10.29,,Steel Box,0.178,,,,,11.2,15.8,29.7,,0.014,Multiple Deflector Plates,Reduce 61%,Low,多导流板组合 - multiple deflectors
DEEP018,Long-Span Suspension Bridge TMD Control Study Case,Suspension,China,TMD-based suspension bridge VIV control baseline,,2038,41.0,4.0,10.25,,Steel Box,0.088,,,,,7.5,10.8,112.3,,0.009,,,High,TMD控制研究基准 - no TMD
DEEP019,Long-Span Suspension Bridge with Single TMD,Suspension,China,Suspension bridge single TMD configuration,,2038,41.0,4.0,10.25,,Steel Box,0.088,,,,,9.2,13.5,68.4,,0.009,Single TMD,Reduce 39%,High,单TMD配置 - single tuned mass damper
DEEP020,Long-Span Suspension Bridge with Multiple TMDs,Suspension,China,Suspension bridge multiple TMDs optimization,,2038,41.0,4.0,10.25,,Steel Box,0.088,,,,,10.5,15.2,45.8,,0.009,Multiple TMDs,Reduce 59%,Medium,多TMD优化配置 - multiple TMDs optimized
DEEP021,Continuous Steel Box Girder VIV Critical Section,Cable-Stayed,China,Continuous steel box girder critical VIV section,,808,33.5,3.2,10.47,,Steel Box,0.165,,,,,7.9,11.2,82.6,,0.013,,,High,连续钢箱梁关键断面 - critical section
DEEP022,Continuous Steel Box Girder with Corner Cuts,Cable-Stayed,China,Continuous steel box corner cut suppression,,808,33.5,3.2,10.47,,Steel Box,0.165,,,,,10.8,14.9,37.5,,0.013,Corner Cuts,Reduce 55%,Medium,倒角处理 - corner cuts modification
DEEP023,Rectangular Section Aspect Ratio 7.0,Cable-Stayed,China,Rectangular section spanwise correlation 2017,,520,28.0,4.0,7.0,,Concrete Box,0.228,,,,,5.8,8.1,95.3,,0.009,,,High,矩形断面宽高比7.0 - high VIV risk
DEEP024,Rectangular Section Aspect Ratio 9.5,Cable-Stayed,China,Rectangular section aspect ratio optimization,,520,28.0,2.95,9.49,,Concrete Box,0.228,,,,,7.8,10.9,48.7,,0.009,,,Medium,宽高比优化至9.5 - aspect ratio effect
DEEP025,HKZM Bridge Cantilever 5m Configuration,Cable-Stayed,China,HKZM Bridge large cantilever 5m baseline,2018.0,458,33.1,3.5,9.46,,Steel Box,0.164,,,,,8.3,11.5,67.8,,0.025,,,High,大挑臂5m配置 - large cantilever
DEEP026,HKZM Bridge Cantilever with Edge Fins,Cable-Stayed,China,HKZM Bridge edge fin suppression measures,2018.0,458,33.1,3.5,9.46,,Steel Box,0.164,,,,,10.7,14.8,31.2,,0.025,Edge Fins,Reduce 54%,Medium,边缘翼板 - edge fin design
DEEP027,Prototype Monitoring Bridge Field Data Case 1,Cable-Stayed,China,Prototype monitoring field data ML analysis,,1088,30.4,3.4,8.94,,Steel Box,0.19,0.169,0.419,,,6.2,10.8,68.5,42.3,0.005,,,High,原型监测现场数据案例1 - field case 1
DEEP028,Prototype Monitoring Bridge Field Data Case 2,Cable-Stayed,China,Prototype monitoring different wind conditions,,1088,30.4,3.4,8.94,,Steel Box,0.19,0.169,0.419,,,8.5,14.2,43.8,28.6,0.005,,,Medium,原型监测不同风况 - different wind case
DEEP029,CFD Flutter-VIV Coupled Analysis Bridge,Suspension,China,CFD flutter-VIV coupled aeroelastic simulation,,1418,35.0,3.0,11.67,,Steel Box,0.128,,,,,8.1,11.5,78.9,,0.012,,,High,CFD颤振-涡振耦合分析 - coupled analysis
DEEP030,RBF-NN Pi-Girder Prediction Case A,Cable-Stayed,China,RBF neural network Pi-girder prediction 2021,,620,33.8,3.6,9.39,,Composite,0.196,,,,,8.5,11.8,58.3,,0.011,,,High,RBF神经网络预测案例A - NN prediction case A
DEEP031,RBF-NN Pi-Girder Prediction Case B,Cable-Stayed,China,RBF neural network different damping ratio,,620,33.8,3.6,9.39,,Composite,0.196,,,,,7.2,9.9,72.6,,0.011,,,High,RBF预测不同阻尼 - different damping case
