BridgeID,BridgeName,Matched_Name,Old_Vcr,New_Vcr,Change
263,Nanpu Bridge,Nanpu Bridge,22.0,11.0,-50.0%
300,Third Nanjing Yangtze Bridge (VIV Test 2),Third Nanjing Yangtze Bridge,22.0,10.0,-54.5%
311,Severn Bridge (VIV Test 2),Severn Bridge (First),22.0,8.0,-63.6%
317,Puente de la Constitución de 1812 (VIV Test 2),Puente de la Constitución de 1812,22.0,14.0,-36.4%
360,Third Nanjing Yangtze Bridge (VIV Test 3),Third Nanjing Yangtze Bridge,22.0,10.0,-54.5%
371,Puente de la Constitución de 1812 (VIV Test 3),Puente de la Constitución de 1812,22.0,14.0,-36.4%
395,Puente de la Constitución de 1812 (VIV Test 4),Puente de la Constitución de 1812,22.0,14.0,-36.4%
396,Severn Bridge (VIV Test 3),Severn Bridge (First),22.0,8.0,-63.6%
399,Third Nanjing Yangtze Bridge (VIV Test 4),Third Nanjing Yangtze Bridge,22.0,10.0,-54.5%
446,Severn Bridge (VIV Test 4),Severn Bridge (First),22.0,8.0,-63.6%
447,Puente de la Constitución de 1812 (VIV Test 5),Puente de la Constitución de 1812,22.0,14.0,-36.4%
457,Third Nanjing Yangtze Bridge (VIV Test 5),Third Nanjing Yangtze Bridge,22.0,10.0,-54.5%
464,Puente de la Constitución de 1812 (VIV Test 6),Puente de la Constitución de 1812,22.0,14.0,-36.4%
474,Severn Bridge (VIV Test 5),Severn Bridge (First),22.0,8.0,-63.6%
