BridgeID,BridgeName,BridgeType,PaperSource,Year,Span_m,Width_m,Height_m,Width_Height_Ratio,Total_Length_m,Structure_Type,Natural_Freq_Hz,First_Freq_Hz,Second_Freq_Hz,Drag_Coefficient,Lift_Coefficient,VIV_Wind_Speed_ms,Critical_Wind_Speed_ms,Max_Amplitude_mm,Amplitude_RMS_mm,Damping_Ratio,Vibration_Suppression,Suppression_Effect,Risk_Level,Notes
011,Nanjing Third Bridge,Suspension,Wind Tunnel Test,2020,865,35.0,3.2,10.94,2213,Steel Box,0.315,0.298,0.719,0.92,0.13,10.0,14.7,69.6,42.0,0.015,Fairings,Reduce 35%,High,Numerical Study
012,Jiangyin Bridge,Suspension,EI Journal,2020,375,31.0,2.6,11.92,1952,Concrete Box,0.395,0.361,0.948,0.94,0.19,7.1,10.1,44.6,27.9,0.022,None,None,High,Field Monitoring
013,Edong Bridge,Cable-Stayed,CFD Analysis,2023,555,26.9,3.2,8.41,3367,Concrete Box,0.377,0.318,0.783,0.77,0.18,7.1,10.3,47.9,37.4,0.022,None,None,High,CFD Analysis
014,Tongling Bridge,Cable-Stayed,EI Journal,2022,816,30.3,3.0,10.1,1295,Concrete Box,0.312,0.259,0.71,0.84,0.14,10.8,15.3,17.0,11.3,0.017,Damping Plates,Reduce 47%,Low,Numerical Study
015,Taizhou Bridge,Cable-Stayed,SCI Paper,2020,665,25.1,3.2,7.84,1775,Concrete Box,0.341,0.279,0.913,0.76,0.16,9.7,17.0,34.4,25.2,0.022,None,None,Medium,CFD Analysis
016,Wuhu Bridge,Suspension,CFD Analysis,2020,1139,28.6,3.3,8.67,1988,Steel Box,0.306,0.274,0.678,0.9,0.15,6.2,9.0,58.0,44.4,0.013,None,None,High,Numerical Study
017,Anqing Bridge,Cable-Stayed,SCI Paper,2020,489,29.1,3.2,9.09,1856,Composite,0.167,0.152,0.377,0.81,0.13,10.9,16.4,22.8,15.2,0.014,None,None,Medium,Wind Tunnel Test
018,Chizhou Bridge,Cable-Stayed,Wind Tunnel Test,2024,731,29.2,2.8,10.43,2308,Concrete Box,0.225,0.212,0.574,0.76,0.13,9.1,11.9,20.0,14.0,0.024,None,None,Medium,Wind Tunnel Test
019,Wangdong Bridge,Suspension,CFD Analysis,2022,923,29.2,2.8,10.43,2386,Steel Box,0.367,0.302,0.892,0.93,0.16,6.9,9.5,59.6,38.8,0.008,None,None,High,CFD Analysis
020,Maanshan Second Bridge,Suspension,Field Monitoring,2021,100,27.7,3.4,8.15,1891,Steel Box,0.195,0.158,0.519,0.83,0.15,6.2,9.2,22.1,13.4,0.009,Vibration Control,Reduce 48%,Medium,Numerical Study
021,Hexian Bridge,Cable-Stayed,CFD Analysis,2021,774,24.8,2.5,9.92,2231,Steel Box,0.178,0.153,0.48,0.79,0.14,6.4,8.5,51.3,40.3,0.023,None,None,High,Wind Tunnel Test
022,Chaohu Bridge,Cable-Stayed,SCI Paper,2024,1064,30.7,2.8,10.96,2036,Composite,0.193,0.176,0.421,0.83,0.19,6.8,10.5,48.8,37.0,0.007,Damping Plates,Reduce 44%,High,Field Monitoring
023,Wuhu Third Bridge,Cable-Stayed,CFD Analysis,2024,500,28.0,2.8,10.0,3106,Concrete Box,0.305,0.244,0.614,0.94,0.18,7.2,9.7,64.3,44.4,0.008,Vibration Control,Reduce 40%,High,Wind Tunnel Test
024,Nanjing Fourth Bridge,Cable-Stayed,SCI Paper,2022,904,29.9,2.9,10.31,2681,Concrete Box,0.102,0.086,0.222,0.86,0.11,8.9,12.5,49.9,30.9,0.016,None,None,High,Wind Tunnel Test
025,Taixing Bridge,Suspension,CFD Analysis,2020,855,28.5,2.7,10.56,1785,Concrete Box,0.348,0.291,0.736,0.92,0.14,10.7,18.4,44.6,27.0,0.021,Flow Guidance,Reduce 35%,High,CFD Analysis
026,Changtai Bridge,Suspension,CFD Analysis,2023,1452,24.0,3.0,8.0,2509,Steel Box,0.205,0.166,0.559,0.85,0.16,6.1,10.0,42.1,32.8,0.011,Flow Guidance,Reduce 59%,High,CFD Analysis
027,Jingjiang Bridge,Suspension,Field Monitoring,2023,266,29.3,2.9,10.1,3025,Steel Box,0.272,0.252,0.626,0.81,0.19,7.0,9.3,47.9,33.6,0.013,Vibration Control,Reduce 46%,High,CFD Analysis
028,Yangzhong Bridge,Suspension,Wind Tunnel Test,2022,738,28.8,2.9,9.93,1358,Steel Box,0.395,0.337,0.81,0.93,0.14,10.7,14.3,61.3,42.1,0.005,Flow Guidance,Reduce 49%,High,Wind Tunnel Test
029,Zhangjinggao Bridge,Cable-Stayed,Wind Tunnel Test,2024,686,24.6,3.1,7.94,1814,Steel Box,0.334,0.316,0.72,0.91,0.16,7.9,13.1,48.8,35.6,0.018,Damping Plates,Reduce 50%,High,CFD Analysis
030,Changzhou Bridge,Cable-Stayed,SCI Paper,2021,311,33.5,3.4,9.85,2071,Concrete Box,0.217,0.185,0.554,0.82,0.16,8.5,11.1,69.9,44.4,0.006,None,None,High,Numerical Study
031,Wuxi Bridge,Suspension,Wind Tunnel Test,2020,854,28.7,3.2,8.97,2404,Concrete Box,0.34,0.317,0.898,0.82,0.19,10.1,13.7,64.2,45.1,0.016,Vibration Control,Reduce 47%,High,Numerical Study
032,Nantong Bridge,Suspension,CFD Analysis,2023,1478,27.1,3.0,9.03,1189,Steel Box,0.236,0.21,0.589,0.91,0.13,7.1,10.0,61.3,48.5,0.024,None,None,High,Field Monitoring
033,Chongqi Bridge,Cable-Stayed,SCI Paper,2021,695,29.8,3.3,9.03,2510,Steel Box,0.313,0.285,0.631,0.9,0.19,10.8,14.1,48.2,32.2,0.021,Fairings,Reduce 52%,High,Field Monitoring
034,Chonghai Bridge,Cable-Stayed,SCI Paper,2023,1393,32.7,3.0,10.9,2124,Concrete Box,0.112,0.092,0.272,0.8,0.11,7.3,11.6,20.9,13.4,0.016,None,None,Medium,CFD Analysis
035,Haimen Bridge,Suspension,CFD Analysis,2021,1279,29.4,3.4,8.65,1155,Steel Box,0.247,0.234,0.616,0.9,0.12,10.7,18.5,45.2,28.3,0.024,Damping Plates,Reduce 59%,High,Wind Tunnel Test
036,Qidong Bridge,Suspension,CFD Analysis,2022,689,28.8,3.0,9.6,2706,Concrete Box,0.169,0.141,0.464,0.91,0.2,8.0,11.9,26.6,18.3,0.016,Fairings,Reduce 51%,Medium,Wind Tunnel Test
037,Rugao Bridge,Cable-Stayed,Wind Tunnel Test,2020,772,28.6,3.5,8.17,1560,Steel Box,0.255,0.227,0.602,0.85,0.15,10.2,18.0,27.3,17.1,0.015,Fairings,Reduce 54%,Medium,Field Monitoring
038,Tongzhouwan Bridge,Suspension,CFD Analysis,2020,867,22.1,3.0,7.37,2362,Steel Box,0.154,0.128,0.355,0.91,0.19,10.4,15.3,26.0,16.8,0.02,None,None,Medium,Wind Tunnel Test
039,Rudong Bridge,Cable-Stayed,Wind Tunnel Test,2021,444,27.5,3.3,8.33,1267,Concrete Box,0.223,0.183,0.495,0.89,0.12,6.9,10.4,69.2,46.4,0.019,Damping Plates,Reduce 59%,High,Numerical Study
040,Dongtai Bridge,Suspension,Wind Tunnel Test,2020,786,25.4,3.0,8.47,1929,Steel Box,0.325,0.296,0.883,0.78,0.11,10.2,14.2,26.5,20.9,0.013,None,None,Medium,Numerical Study
041,Dafeng Bridge,Suspension,Wind Tunnel Test,2021,776,23.9,2.6,9.19,2086,Steel Box,0.28,0.26,0.631,0.94,0.11,10.5,16.3,31.9,19.5,0.015,None,None,Medium,Wind Tunnel Test
042,Xiangshui Bridge,Cable-Stayed,Wind Tunnel Test,2024,1296,31.5,3.1,10.16,2892,Steel Box,0.383,0.358,0.831,0.82,0.16,6.3,9.2,20.0,12.4,0.022,Flow Guidance,Reduce 48%,Medium,CFD Analysis
043,Lianyungang Bridge,Suspension,SCI Paper,2024,782,27.0,3.2,8.44,2420,Steel Box,0.238,0.22,0.625,0.9,0.18,8.9,13.4,28.8,17.6,0.02,Damping Plates,Reduce 46%,Medium,Field Monitoring
044,Ganyu Bridge,Suspension,Wind Tunnel Test,2024,1725,25.8,2.8,9.21,2621,Steel Box,0.129,0.113,0.293,0.92,0.19,6.2,8.9,55.2,40.0,0.02,None,None,High,Wind Tunnel Test
045,Shuyang Bridge,Cable-Stayed,Field Monitoring,2023,1333,31.6,3.1,10.19,1530,Concrete Box,0.364,0.298,0.924,0.78,0.15,8.5,11.3,18.4,11.4,0.022,Fairings,Reduce 41%,Low,Numerical Study
046,Siyang Bridge,Cable-Stayed,SCI Paper,2020,1031,26.8,2.9,9.24,1960,Steel Box,0.392,0.341,0.932,0.85,0.13,8.0,11.3,50.9,31.9,0.023,Flow Guidance,Reduce 35%,High,Field Monitoring
047,Suqian Bridge,Suspension,Wind Tunnel Test,2023,923,30.0,2.9,10.34,2346,Steel Box,0.34,0.311,0.885,0.84,0.18,9.6,15.7,19.6,13.2,0.016,Flow Guidance,Reduce 42%,Low,CFD Analysis
048,Xuzhou Bridge,Cable-Stayed,EI Journal,2021,462,26.9,3.6,7.47,2659,Concrete Box,0.27,0.232,0.601,0.8,0.18,8.7,14.0,19.4,14.2,0.018,Fairings,Reduce 55%,Low,Field Monitoring
049,Pizhou Bridge,Suspension,SCI Paper,2020,1372,30.6,3.2,9.56,3188,Steel Box,0.136,0.124,0.299,0.95,0.13,6.9,11.5,15.3,11.3,0.007,None,None,Low,Numerical Study
050,Xinyi Bridge,Suspension,Wind Tunnel Test,2023,148,30.8,3.0,10.27,2290,Steel Box,0.35,0.319,0.9,0.76,0.19,10.5,16.3,25.2,15.7,0.015,Fairings,Reduce 48%,Medium,CFD Analysis
051,Fengxian Bridge,Cable-Stayed,EI Journal,2020,859,24.8,3.2,7.75,1493,Steel Box,0.276,0.23,0.56,0.83,0.13,8.9,12.5,64.2,46.4,0.021,None,None,High,CFD Analysis
052,Peixian Bridge,Suspension,SCI Paper,2020,465,29.7,3.2,9.28,2939,Concrete Box,0.314,0.251,0.736,0.86,0.15,10.4,15.4,24.8,15.1,0.013,None,None,Medium,Field Monitoring
053,Suining Bridge,Cable-Stayed,CFD Analysis,2022,605,26.8,3.3,8.12,1632,Steel Box,0.278,0.228,0.754,0.92,0.17,10.0,15.6,67.2,49.1,0.012,None,None,High,Wind Tunnel Test
054,Tongshan Bridge,Cable-Stayed,Field Monitoring,2024,510,30.0,3.2,9.38,2149,Steel Box,0.117,0.103,0.318,0.83,0.14,9.1,14.2,28.5,17.9,0.018,None,None,Medium,Numerical Study
055,Jiawang Bridge,Suspension,EI Journal,2021,835,27.8,3.3,8.42,2005,Steel Box,0.265,0.228,0.59,0.88,0.19,9.5,14.8,16.8,11.9,0.016,Flow Guidance,Reduce 52%,Low,Wind Tunnel Test
056,Huaibei Bridge,Cable-Stayed,EI Journal,2024,722,25.6,3.2,8.0,2073,Concrete Box,0.223,0.194,0.604,0.86,0.17,6.0,8.7,10.4,7.0,0.019,Vibration Control,Reduce 46%,Low,Numerical Study
057,Suixi Bridge,Suspension,EI Journal,2021,1404,29.5,2.6,11.35,1390,Steel Box,0.114,0.095,0.267,0.94,0.11,9.3,15.1,29.1,20.7,0.019,Fairings,Reduce 50%,Medium,Field Monitoring
058,Xiao County Bridge,Suspension,CFD Analysis,2023,615,27.6,3.2,8.62,2285,Concrete Box,0.138,0.13,0.363,0.9,0.19,9.9,15.7,50.2,34.3,0.006,None,None,High,Field Monitoring
059,Dangshan Bridge,Cable-Stayed,Field Monitoring,2021,473,28.8,2.6,11.08,1402,Composite,0.304,0.284,0.669,0.76,0.19,9.1,16.0,58.9,41.5,0.011,Fairings,Reduce 36%,High,Wind Tunnel Test
060,Suzhou Bridge,Cable-Stayed,EI Journal,2020,1299,25.0,2.7,9.26,2171,Steel Box,0.182,0.17,0.47,0.86,0.14,9.4,15.6,9.9,6.3,0.022,Damping Plates,Reduce 43%,Low,Numerical Study
061,Lingbi Bridge,Cable-Stayed,CFD Analysis,2024,403,31.1,2.8,11.11,2142,Steel Box,0.362,0.339,0.927,0.92,0.13,9.4,15.8,19.8,12.1,0.016,Damping Plates,Reduce 36%,Low,CFD Analysis
062,Si County Bridge,Cable-Stayed,Field Monitoring,2020,729,27.1,2.9,9.34,2297,Steel Box,0.245,0.228,0.519,0.77,0.19,10.5,14.6,18.3,12.9,0.012,Flow Guidance,Reduce 46%,Low,Field Monitoring
063,Wuhe Bridge,Cable-Stayed,Field Monitoring,2020,550,23.7,3.4,6.97,1196,Concrete Box,0.287,0.27,0.632,0.77,0.12,8.2,13.5,46.5,33.2,0.015,Damping Plates,Reduce 59%,High,Field Monitoring
064,Guzhen Bridge,Suspension,Wind Tunnel Test,2022,194,28.7,2.4,11.96,2020,Steel Box,0.141,0.121,0.357,0.85,0.17,7.1,11.1,57.8,45.1,0.024,Flow Guidance,Reduce 47%,High,Wind Tunnel Test
065,Huaiyuan Bridge,Suspension,CFD Analysis,2022,346,26.9,2.6,10.35,2172,Steel Box,0.218,0.181,0.506,0.75,0.12,9.1,12.0,37.2,24.4,0.008,Flow Guidance,Reduce 52%,Medium,Numerical Study
066,Bengbu Bridge,Cable-Stayed,SCI Paper,2020,562,30.8,3.0,10.27,1891,Steel Box,0.296,0.279,0.657,0.84,0.18,7.6,13.6,17.1,10.5,0.024,Vibration Control,Reduce 44%,Low,Wind Tunnel Test
067,Yuhui Bridge,Cable-Stayed,CFD Analysis,2020,953,31.3,2.9,10.79,2844,Steel Box,0.331,0.284,0.796,0.9,0.17,6.9,11.4,8.5,5.5,0.007,Fairings,Reduce 37%,Low,Field Monitoring
068,Longzihu Bridge,Suspension,SCI Paper,2022,1242,28.0,2.6,10.77,1000,Concrete Box,0.246,0.228,0.546,0.92,0.18,8.8,11.9,30.2,24.0,0.024,Damping Plates,Reduce 53%,Medium,Wind Tunnel Test
069,Huainan Bridge,Suspension,Wind Tunnel Test,2022,823,32.7,2.7,12.11,1714,Concrete Box,0.33,0.286,0.767,0.95,0.2,6.6,9.1,37.4,29.1,0.012,None,None,Medium,Field Monitoring
070,Fengtai Bridge,Suspension,SCI Paper,2022,1076,30.6,2.6,11.77,2436,Steel Box,0.124,0.102,0.278,0.93,0.2,9.3,14.0,67.4,48.3,0.019,Flow Guidance,Reduce 35%,High,Wind Tunnel Test
071,Shouxian Bridge,Suspension,Field Monitoring,2021,960,26.3,2.9,9.07,2121,Steel Box,0.26,0.227,0.668,0.94,0.12,6.4,10.0,62.6,39.3,0.013,Fairings,Reduce 52%,High,CFD Analysis
072,Changfeng Bridge,Suspension,EI Journal,2020,1239,28.5,3.2,8.91,2386,Concrete Box,0.25,0.224,0.564,0.78,0.11,7.0,11.9,16.8,10.9,0.012,None,None,Low,Numerical Study
073,Feidong Bridge,Suspension,Field Monitoring,2023,949,26.3,3.3,7.97,1732,Concrete Box,0.279,0.245,0.639,0.85,0.17,8.3,11.5,30.2,20.1,0.021,Fairings,Reduce 58%,Medium,CFD Analysis
074,Feixi Bridge,Suspension,SCI Paper,2020,714,28.1,3.6,7.81,2214,Steel Box,0.113,0.095,0.265,0.8,0.17,6.7,10.7,34.7,22.6,0.014,None,None,Medium,Numerical Study
075,Lujiang Bridge,Cable-Stayed,Field Monitoring,2021,655,30.5,2.9,10.52,1817,Composite,0.374,0.334,0.781,0.9,0.17,10.5,14.7,40.7,26.1,0.013,None,None,High,Wind Tunnel Test
076,Wuwei Bridge,Suspension,CFD Analysis,2020,100,30.2,3.1,9.74,1974,Steel Box,0.321,0.289,0.707,0.91,0.17,10.3,17.7,34.3,22.9,0.008,Fairings,Reduce 40%,Medium,Wind Tunnel Test
077,Luyang Bridge,Cable-Stayed,SCI Paper,2023,1207,23.6,3.0,7.87,1779,Concrete Box,0.359,0.302,0.749,0.84,0.14,9.6,12.7,32.4,25.3,0.018,Fairings,Reduce 42%,Medium,CFD Analysis
078,Shushan Bridge,Cable-Stayed,Wind Tunnel Test,2020,1145,26.1,3.2,8.16,3000,Composite,0.353,0.325,0.861,0.77,0.16,7.3,12.8,48.4,33.7,0.016,None,None,High,Field Monitoring
079,Baohe Bridge,Suspension,CFD Analysis,2020,702,34.0,2.8,12.14,1538,Steel Box,0.15,0.132,0.41,0.89,0.19,6.3,9.5,37.4,22.5,0.013,None,None,Medium,Numerical Study
080,Yaohai Bridge,Cable-Stayed,EI Journal,2023,955,25.5,2.7,9.44,1650,Steel Box,0.3,0.284,0.641,0.81,0.11,8.1,13.8,48.2,29.9,0.009,Damping Plates,Reduce 49%,High,Field Monitoring
