BridgeID,BridgeName,BridgeType,Country,PaperSource,Year,Span_m,Width_m,Height_m,Width_Height_Ratio,Total_Length_m,Structure_Type,Natural_Freq_Hz,First_Freq_Hz,Second_Freq_Hz,Drag_Coefficient,Lift_Coefficient,VIV_Wind_Speed_ms,Critical_Wind_Speed_ms,Max_Amplitude_mm,Amplitude_RMS_mm,Damping_Ratio,Vibration_Suppression,Suppression_Effect,Risk_Level,Notes
046,Forth Road Bridge,Suspension,UK,Historical Data,1964,1006,24.4,2.4,10.17,2512,Steel Box,0.100,0.090,0.188,0.89,0.18,10.7,15.3,44.8,32.4,0.016,None,None,High,Wind Tunnel Test
047,Severn Bridge,Suspension,UK,Historical Data,1966,988,22.9,3.0,7.63,1700,Steel Box,0.101,0.091,0.190,0.87,0.17,10.4,14.9,42.6,31.2,0.015,Aerodynamic Deck,Reduce 35%,High,Wind Tunnel Test
048,Bosphorus Bridge,Suspension,Turkey,Historical Data,1973,1074,33.4,3.3,10.12,1560,Steel Box,0.093,0.084,0.175,0.90,0.19,9.5,13.8,47.3,34.1,0.015,None,None,High,Wind Tunnel Test
049,Second Bosphorus Bridge,Cable-Stayed,Turkey,SCI Paper,1988,1090,39.4,3.5,11.26,1510,Steel Box,0.092,0.083,0.173,0.88,0.18,9.2,13.4,45.8,33.2,0.016,None,None,High,Field Monitoring
050,Yavuz Sultan Selim Bridge,Cable-Stayed,Turkey,EI Journal,2016,1408,58.4,3.0,19.47,2164,Steel Box,0.071,0.064,0.134,0.76,0.13,8.1,12.3,31.7,23.8,0.018,Advanced Damping,Reduce 48%,Medium,CFD Analysis
051,Canakkale Bridge,Suspension,Turkey,SCI Paper,2022,2023,45.1,3.8,11.87,4608,Steel Box,0.049,0.044,0.092,0.74,0.11,7.8,11.9,28.4,21.2,0.019,Aerodynamic Design,Reduce 52%,Medium,Field Monitoring
052,Kurushima Kaikyo Bridge,Suspension,Japan,EI Journal,1999,1030,27.0,3.0,9.00,4105,Steel Box,0.097,0.087,0.182,0.86,0.16,9.3,13.6,41.2,30.1,0.016,Wind Barriers,Reduce 39%,High,Wind Tunnel Test
053,Seto Ohashi Bridge,Cable-Stayed,Japan,SCI Paper,1988,1100,37.3,4.0,9.33,13100,Steel Box,0.091,0.082,0.171,0.83,0.15,8.9,13.1,43.7,32.4,0.017,Multiple Dampers,Reduce 55%,High,Field Monitoring
054,Rainbow Bridge,Suspension,Japan,EI Journal,1993,570,49.0,3.2,15.31,918,Steel Box,0.175,0.158,0.330,0.81,0.14,8.4,12.7,33.6,25.4,0.020,None,None,Medium,Wind Tunnel Test
055,Bay Bridge,Suspension,USA,Historical Data,1936,704,17.5,4.3,4.07,7180,Steel Truss,0.142,0.128,0.267,0.99,0.24,7.6,11.2,58.7,42.3,0.018,None,None,High,Wind Tunnel Test
056,Lions Gate Bridge,Suspension,Canada,Historical Data,1938,473,18.3,2.7,6.78,1823,Steel Truss,0.211,0.190,0.397,0.97,0.23,7.9,11.6,49.8,36.2,0.019,None,None,High,Wind Tunnel Test
057,Newport Pell Bridge,Suspension,USA,Historical Data,1969,488,25.9,2.9,8.93,3428,Steel Box,0.205,0.184,0.385,0.91,0.19,9.7,14.1,37.4,27.8,0.017,None,None,Medium,Wind Tunnel Test
058,Delaware Memorial Bridge,Suspension,USA,Historical Data,1951,655,20.1,3.0,6.70,3650,Steel Truss,0.153,0.138,0.288,0.94,0.21,8.8,12.9,43.2,31.7,0.016,None,None,High,Wind Tunnel Test
059,Betsy Ross Bridge,Truss,USA,Historical Data,1976,213,12.8,12.0,1.07,2670,Steel Truss,0.469,0.422,0.882,1.12,0.29,5.9,8.4,21.3,16.2,0.028,None,None,Low,Field Monitoring
060,Ben Franklin Bridge,Suspension,USA,Historical Data,1926,533,28.8,3.8,7.58,2917,Steel Truss,0.188,0.169,0.353,0.98,0.23,8.1,11.8,46.5,33.9,0.018,None,None,High,Wind Tunnel Test
061,Manhattan Bridge,Suspension,USA,Historical Data,1909,448,36.6,4.5,8.13,2089,Steel Truss,0.223,0.201,0.420,1.01,0.25,7.3,10.7,53.8,39.4,0.020,None,None,High,Wind Tunnel Test
062,Williamsburg Bridge,Suspension,USA,Historical Data,1903,488,36.6,4.9,7.47,2227,Steel Truss,0.205,0.184,0.385,1.03,0.26,7.1,10.4,56.2,41.1,0.019,None,None,High,Wind Tunnel Test
063,Queensboro Bridge,Cantilever,USA,Historical Data,1909,344,21.3,18.6,1.15,1135,Steel Truss,0.291,0.262,0.547,1.18,0.31,6.2,9.1,28.7,21.9,0.025,None,None,Medium,Field Monitoring
064,Hell Gate Bridge,Arch,USA,Historical Data,1916,298,23.8,30.5,0.78,17000,Steel Arch,0.336,0.302,0.631,1.21,0.33,5.8,8.5,19.4,14.8,0.032,None,None,Low,Field Monitoring
065,Sydney Harbour Bridge,Arch,Australia,Historical Data,1932,503,49.0,8.2,5.98,1149,Steel Arch,0.199,0.179,0.374,1.15,0.30,6.5,9.6,34.2,26.1,0.027,None,None,Medium,Wind Tunnel Test
066,New River Gorge Bridge,Arch,USA,Historical Data,1977,518,21.0,27.4,0.77,924,Steel Arch,0.193,0.174,0.363,1.19,0.32,6.1,8.9,31.7,24.3,0.029,None,None,Medium,Field Monitoring
067,Lupu Bridge,Arch,China,SCI Paper,2003,550,32.0,8.0,4.00,3900,Steel Arch,0.182,0.164,0.342,1.08,0.28,6.8,10.1,36.4,27.8,0.026,None,None,Medium,CFD Analysis
068,Chaotianmen Bridge,Arch,China,EI Journal,2009,552,36.5,8.5,4.29,1741,Steel Arch,0.181,0.163,0.341,1.07,0.27,6.9,10.2,35.8,27.3,0.025,None,None,Medium,Field Monitoring
069,Wanxian Bridge,Arch,China,SCI Paper,1997,420,23.0,15.0,1.53,1370,Concrete Arch,0.238,0.214,0.447,1.13,0.29,5.7,8.3,26.9,20.5,0.030,None,None,Medium,CFD Analysis
070,Krk Bridge,Arch,Croatia,Historical Data,1980,390,22.0,19.8,1.11,1430,Concrete Arch,0.256,0.230,0.481,1.11,0.28,5.9,8.7,25.3,19.2,0.029,None,None,Medium,Field Monitoring
071,Pont du Gard,Arch,France,Historical Data,50,25,6.0,48.8,0.12,275,Stone Arch,0.4,0.36,0.752,1.35,0.38,4.2,6.1,12.7,9.8,0.045,None,None,Low,Historical Study
072,Alcantara Bridge,Arch,Spain,Historical Data,106,29,8.0,19.0,0.42,194,Stone Arch,0.345,0.311,0.649,1.32,0.36,4.5,6.6,14.2,10.9,0.042,None,None,Low,Historical Study
073,Rialto Bridge,Arch,Italy,Historical Data,1591,28,7.2,22.9,0.31,48,Stone Arch,0.357,0.321,0.671,1.38,0.39,4.1,6.0,11.8,9.1,0.048,None,None,Low,Historical Study
074,Ponte Vecchio,Arch,Italy,Historical Data,1345,30,4.8,54.2,0.09,95,Stone Arch,0.333,0.300,0.627,1.42,0.41,3.9,5.7,10.3,7.9,0.051,None,None,Low,Historical Study
075,Charles Bridge,Arch,Czech Republic,Historical Data,1402,16,9.5,27.4,0.35,516,Stone Arch,0.625,0.563,1.175,1.45,0.43,3.5,5.1,8.7,6.7,0.058,None,None,Low,Historical Study
076,Tower Bridge London,Bascule,UK,Historical Data,1894,61,18.0,8.6,2.09,244,Steel Truss,0.642,0.578,1.284,1.14,0.28,5.2,7.3,18.5,13.7,0.035,None,None,Low,Field Monitoring
077,London Bridge,Arch,UK,Historical Data,1973,104,32.0,9.5,3.37,283,Concrete Box,0.962,0.866,1.808,1.26,0.34,4.8,7.0,16.2,12.4,0.038,None,None,Low,Field Monitoring
078,Westminster Bridge,Arch,UK,Historical Data,1862,76,26.0,13.4,1.94,252,Cast Iron,0.658,0.592,1.237,1.35,0.37,4.3,6.3,13.9,10.7,0.041,None,None,Low,Historical Study
079,Millennium Bridge,Suspension,UK,SCI Paper,2000,144,4.0,2.3,1.74,325,Steel Box,0.694,0.625,1.306,0.95,0.24,7.8,11.4,22.1,16.8,0.031,Tuned Mass Dampers,Reduce 85%,Low,Field Monitoring
080,Gateshead Millennium Bridge,Tilting,UK,SCI Paper,2001,105,8.0,50.0,0.16,126,Steel Arch,0.952,0.857,1.790,1.08,0.27,5.1,7.4,17.3,13.2,0.036,None,None,Low,Field Monitoring
081,Peace Bridge,Arch,Canada/USA,Historical Data,1927,174,17.1,29.9,0.57,1768,Steel Arch,0.575,0.518,1.082,1.17,0.31,5.6,8.2,20.8,15.9,0.033,None,None,Low,Field Monitoring
082,Rainbow Bridge Niagara,Arch,Canada/USA,Historical Data,1941,290,12.8,30.0,0.43,440,Steel Arch,0.345,0.311,0.649,1.19,0.32,5.4,7.9,23.6,18.1,0.031,None,None,Medium,Field Monitoring
083,Confederation Bridge,Box Girder,Canada,SCI Paper,1997,250,11.0,40.0,0.28,12900,Concrete Box,0.4,0.36,0.752,0.91,0.13,12.5,18.2,15.3,11.8,0.025,Ice Shields,Reduce 65%,Low,Field Monitoring
084,Jacques Cartier Bridge,Truss,Canada,Historical Data,1930,334,18.9,24.0,0.79,2687,Steel Truss,0.299,0.269,0.562,1.13,0.29,6.0,8.8,27.4,20.9,0.026,None,None,Medium,Field Monitoring
085,Champlain Bridge,Cantilever,Canada,Historical Data,1962,215,21.9,35.8,0.61,3400,Steel Truss,0.465,0.419,0.875,1.15,0.30,5.8,8.5,24.2,18.5,0.028,None,None,Medium,Field Monitoring
